"","text","user_suggestion","klasifikasi"
"1","hello skill floor nice  meet youoh whats      mop    facevery wellif   looking   easy    frustrated fast  perhaps    eliminate  fun   life       youonein fact   friend  two  join  soon     friends  longer   honesty though   beautiful community   gameplay mechanics       meet  amusing     arent   rightdownload  install  free    provided   creator   steam community marketi promise      tears  dreams ",1,"Positif"
"2","     idk   release       suck  hero                hahaha        think     anymore seriously   suck sorry gaben",0,"Negatif"
"3","    times      friends   max team   however things happe  alone   swarmed  asians mexicans russians   maybe  aliens  would   aliens  watch  learn      world  peoples name calling  yelling    screamed    languages      going         blamers  blame everything   filled  racism  yelling ",1,"Positif"
"4"," used      kind  delight     long  ago  everything started    came  school    good  start picking   oh  goood    supports  whole  team  speaking  kind  magic language    heard   fairytales yea   talking  azbuka    doesent matter   checked  finding     wanna   english speaking  oh    doesent matter   checked eu  na region     everywhere  watch    bed   aboslutelly  hope   anything normall      enjoy  mighty quotquot words  glorious  words  whole  long   chat theese gyus   good  thay  stay whole    base  sitting theirand spamming voice chat   two words eventually     solo   come  four  three stack   next  enjoy  low prio  mute   nice reports    yea  almost forgot  matchmaking    hope       someone   plyed          mm   kind  surprise     remember      someone             power  good matchmaking  ",0,"Negatif"
"5","  jose  used   believe     casual  til  mind changed entirely  started        years old  started   years agogetting    gaming addiction    hard   underrated  think    video   nothing   addiction   addiction  personal experience   tell   cutting       work  least  didnt     easier  stop completely   stop    planning    however       mind   put     unless  plan    professional gamer    kinda working      great        fun   skills    practice  patience    kinds       toxic    charismatic    believe   part   cool ones  tho  number  reports   everyday  hella big           years  initially started   casual pastime  later turned   full blown addiction   college      point    bunking classes almost everyday  sit   room       straight    numerous  forums   thought     could  better    life      main reasons behind  addictiveness        able  escape  real life problems  unlike  real life    full control   character         enticing along   things    sure  already     nickname addicted   actually funny cause    high school principal  told   call              pretty good    awareperuvians  russians  coming  youaddicted ",1,"Positif"
"6","  purgatory simulator based   existential novel  exit     trapped         hate   spend   killing   enemies  spawn   seconds   eternity    amassed  arbitrary amount  golditems    kill   team  worst       blamed   mistake   ridiculed without mercy      highest killdeath ratio often times   best  calls       minute duration   nice    highly recommend ",1,"Positif"
"7"," bother spending hundreds   language learning programs  ones  claim    best  rosetta stone     market cornered   would     fool  pay anything   superior pieces  software     completely free  charge     learn   language simply queue   region  select  language   already  valves patented system  immediately match    language speakers       fast track  success   love  learning experience   guarantee     grow  hate  cultures due   language barrier  soon    able  speak portugeuse spanish   chinese",1,"Positif"
"8","     addictive        released     opinion  dropped alot    basically broken  alot  stupid builds    skill tree making  heros   broken    stupidly bad     worth  anymore   hud  ruined            feel sick    hud making   hard      changes   shop    harder  buy     personally hate      considered  hud effects  alot    spent money           hud effects  basically worthless  hardly change anything   hero monkey kind  cool        changes   broken skill tree   heros   hud changes  find   extreamly less enjoyable",0,"Negatif"
"9"," love    especially    events  bonus xp  reccomended     friends   tham started     favorite   supports   nuckers  pushers   highly reccomend      different types   tanky natures   passive   aggresisive      love strategy  enjoy teamfights ",1,"Positif"
"10","havent enjoyed   allplaying  support feels terrible    changes  visibility   maze  treesstairs everywhere trying  ward    nightmareit feels   soon   team starts  ahead   snowballs    talent systembefore             continuing  basically  completely different ",0,"Negatif"
